// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4486D
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw	Vel_E	Vel_N	Vel_U
28751		-7.772605	1.874800	5.823057	-0.010869	0.002938	-0.004525	17.491669	51.324655	-12.881992			
28752		-7.713131	1.900152	5.845360	-0.010061	0.004492	-0.004976	17.489954	51.322784	-12.883658			
28753		-7.754600	1.884448	5.812258	-0.011259	0.006903	-0.005129	17.493850	51.326465	-12.893938			
28754		-7.736302	1.917898	5.827169	-0.011176	0.009945	-0.006964	17.491319	51.327924	-12.895847			
28755		-7.766864	1.903374	5.815506	-0.015048	0.008261	-0.008381	17.491751	51.333385	-12.913799			
28756		-7.767305	1.924878	5.840991	-0.014795	0.007696	-0.005765	17.487489	51.333415	-12.915288			
28757		-7.741561	1.922354	5.772480	-0.015462	0.002745	-0.007325	17.486749	51.336821	-12.918853			
28758		-7.749495	1.910841	5.804598	-0.013121	0.004365	-0.006842	17.482001	51.335223	-12.922201			
28759		-7.749881	1.886621	5.778884	-0.015542	-0.000296	-0.005491	17.478178	51.330424	-12.928590			
28760		-7.757779	1.875125	5.811030	-0.014318	0.006778	-0.006993	17.473163	51.330170	-12.931409			
28761		-7.758212	1.873769	5.810890	-0.023452	0.005963	0.000328	17.476992	51.336744	-12.944507			
28762		-7.769639	1.893724	5.814950	-0.022894	0.008087	-0.002736	17.470264	51.336486	-12.943254			
28763		-7.769957	1.892433	5.814944	-0.021999	0.002987	0.003096	17.475911	51.339610	-12.965796			
28764		-7.781053	1.890146	5.793585	-0.016539	-0.001706	0.005266	17.476194	51.332635	-12.960259			
28765		-7.736641	1.849986	5.828882	-0.013142	0.000899	0.007916	17.479633	51.322481	-12.941297			
28766		-7.788527	1.856914	5.800252	-0.007016	0.001156	0.011651	17.490340	51.315962	-12.929387			
28767		-7.758637	1.870645	5.811329	0.000696	0.004736	0.008026	17.508804	51.317317	-12.911641			
28768		-7.788372	1.881075	5.825709	0.001086	0.000770	0.008627	17.522007	51.311112	-12.902481			
28769		-7.784802	1.850272	5.853631	0.002284	-0.001642	0.008778	17.539370	51.306357	-12.891111			
28770		-7.747081	1.874644	5.832751	0.011444	-0.001043	0.007919	17.557630	51.299284	-12.883076			
28771		-7.750317	1.907444	5.804619	0.014006	0.000221	0.004557	17.577999	51.295416	-12.863568			
28772		-7.724713	1.879977	5.875464	0.013617	0.004188	0.003957	17.595929	51.291885	-12.857547			
28773		-7.754568	1.913469	5.915275	0.007352	0.007330	0.002235	17.615003	51.293962	-12.862815			
28774		-7.747253	1.947070	5.908248	0.002870	0.009968	0.004063	17.628102	51.293573	-12.855108			
28775		-7.781040	1.942745	5.842663	-0.005680	0.005050	0.001675	17.635627	51.289509	-12.859672			
28776		-7.759078	1.922864	5.859956	0.004344	0.000760	0.000187	17.644936	51.284761	-12.857915			
28777		-7.718437	1.892047	5.840983	0.003398	0.002604	0.002650	17.664844	51.289064	-12.873510			
28778		-7.700024	1.881188	5.804340	0.005487	0.004790	0.000520	17.675917	51.286471	-12.870359			
28779		-7.689217	1.882768	5.825560	0.002173	0.005230	-0.003963	17.684301	51.284835	-12.871617			
28780		-7.667623	1.885395	5.868158	0.001146	0.013730	-0.007780	17.689177	51.288565	-12.873226			
28781		-7.761288	1.945199	5.882874	-0.006426	0.016454	-0.014283	17.693093	51.301008	-12.898981			
28782		-7.792240	1.975678	5.922248	-0.021153	0.017722	-0.020228	17.677585	51.309094	-12.910361			
28783		-7.823927	1.914009	5.858104	-0.020481	0.022679	-0.018660	17.666664	51.319091	-12.924540			
28784		-7.799117	1.956182	5.840039	-0.015659	0.022522	-0.019701	17.655696	51.329701	-12.934138			
28785		-7.816208	1.910476	5.876909	-0.015656	0.022526	-0.019699	17.646878	51.342253	-12.927157			
28786		-7.806931	1.886601	5.871239	-0.014370	0.023163	-0.021377	17.635636	51.353504	-12.938040			
28787		-7.789728	1.896095	5.859496	-0.008191	0.016977	-0.017821	17.633704	51.364741	-12.949501			
28788		-7.802044	1.892992	5.836693	-0.001928	0.013836	-0.016097	17.631170	51.369987	-12.958366			
28789		-7.792176	1.847619	5.805562	0.002663	0.014030	-0.013291	17.634248	51.374018	-12.956967			
28790		-7.792956	1.869809	5.830519	0.007785	0.006856	-0.011903	17.638628	51.374723	-12.964099			
28791		-7.793617	1.869519	5.829728	0.007889	0.009684	-0.007273	17.650742	51.380252	-12.956530			
28792		-7.786527	1.879632	5.796904	0.012043	0.004573	-0.009881	17.658452	51.379365	-12.962521			
28793		-7.779209	1.912529	5.790207	0.006417	0.003174	-0.008393	17.668948	51.384574	-12.950291			
28794		-7.768494	1.914077	5.811403	0.013345	0.004990	-0.005099	17.680767	51.383093	-12.951970			
28795		-7.728033	1.883345	5.792127	0.010532	0.004291	-0.004356	17.700869	51.391012	-12.974009			
28796		-7.728353	1.906570	5.817388	0.009581	0.006134	-0.001893	17.712983	51.389612	-12.972582			
28797		-7.769687	1.937906	5.835298	0.004373	0.010260	-0.001454	17.726875	51.393145	-12.965429			
28798		-7.751500	1.926844	5.798322	0.002757	0.007147	-0.000559	17.736216	51.392069	-12.962549			
28799		-7.751900	1.926923	5.797761	-0.003822	0.007590	0.003389	17.745498	51.389883	-12.945728			
28800		-7.789664	1.926765	5.843859	0.005254	0.005151	0.004375	17.759204	51.386853	-12.939086			
28801		-7.811951	1.924434	5.800025	0.006451	0.002738	0.004527	17.777927	51.387319	-12.931325			
28802		-7.770980	1.940051	5.832863	0.006610	-0.000879	0.008971	17.794231	51.380198	-12.922356			
28803		-7.759748	1.896927	5.802807	0.011906	-0.001957	0.006703	17.812663	51.372171	-12.906836			
28804		-7.770632	1.919613	5.806717	0.015053	0.001222	0.006744	17.832737	51.366581	-12.899225			
28805		-7.711087	1.924394	5.803009	0.013136	0.005127	0.005208	17.854169	51.365547	-12.878583			
28806		-7.752362	1.933721	5.794880	0.014366	0.012209	0.003713	17.874194	51.366481	-12.870525			
28807		-7.752827	1.957177	5.819861	0.003711	0.005303	-0.003021	17.882216	51.362710	-12.860799			
28808		-7.783051	1.966723	5.833842	-0.002306	0.007873	-0.002137	17.887743	51.362304	-12.859065			
28809		-7.783584	1.966113	5.833338	-0.012191	0.008756	-0.002678	17.893698	51.368060	-12.873595			
28810		-7.765316	1.976917	5.822603	-0.010994	0.006344	-0.002525	17.893654	51.366895	-12.872643			
28811		-7.803277	1.952665	5.843058	-0.012999	0.007201	-0.002230	17.901002	51.375169	-12.883872			
28812		-7.773938	1.942116	5.828232	-0.011469	0.007267	-0.001294	17.901739	51.374304	-12.881594			
28813		-7.741219	1.900108	5.841382	-0.008987	0.005488	-0.002819	17.909117	51.381747	-12.870480			
28814		-7.793533	1.906288	5.812079	-0.003589	0.007241	-0.000457	17.914942	51.380732	-12.867469			
28815		-7.764061	1.896129	5.797296	-0.004024	0.001931	-0.005870	17.923011	51.382921	-12.913517			
28816		-7.786597	1.938015	5.805239	-0.005852	0.008886	-0.009235	17.921920	51.384358	-12.917742			
28817		-7.794887	1.926921	5.836839	-0.004411	0.005902	-0.006469	17.924372	51.382763	-12.923087			
28818		-7.757856	1.926308	5.789995	-0.010051	0.004721	-0.011445	17.918448	51.382319	-12.930421			
28819		-7.769363	1.969223	5.819811	-0.006516	0.003930	-0.010803	17.918950	51.385113	-12.935891			
28820		-7.758763	1.969626	5.841303	-0.005462	0.004917	-0.008635	17.917621	51.384285	-12.940715			
28821		-7.751438	1.978875	5.809038	-0.004266	0.002504	-0.008483	17.918592	51.382994	-12.939231			
28822		-7.748375	1.923648	5.811000	-0.000731	0.001713	-0.007841	17.919811	51.380279	-12.944259			
28823		-7.759706	1.944226	5.815031	-0.000498	0.001362	-0.011686	17.923227	51.380518	-12.976977			
28824		-7.741406	1.978088	5.830187	-0.002549	0.008448	-0.004746	17.927009	51.380935	-12.977419			
28825		-7.738731	1.945784	5.857477	-0.003035	0.009591	-0.009973	17.930361	51.384233	-12.992388			
28826		-7.772524	1.963253	5.817606	-0.003123	0.006541	-0.008144	17.931077	51.384211	-12.996345			
28827		-7.751041	1.942459	5.834680	-0.005848	0.008890	-0.009232	17.929978	51.383595	-12.985272			
28828		-7.732969	1.953280	5.823726	-0.002791	0.009021	-0.007359	17.931968	51.384783	-12.987831			
28829		-7.763622	1.939246	5.811467	-0.004375	0.015407	-0.008107	17.938677	51.393715	-12.999427			
28830		-7.783389	1.926555	5.820778	-0.006711	0.013785	-0.008598	17.938632	51.397725	-13.001728			
