sensor,sample_index,Acc_X,Acc_Y,Acc_Z
Wrist,0,3.175938,9.412152,0.686022
Wrist,1,2.981071,9.263784,0.693777
Wrist,2,2.85151,8.958906,0.613924
Wrist,3,2.887816,9.112616,0.550571
Wrist,4,3.016443,9.345786,0.478253
Wrist,5,2.95435,9.536739,0.451207
Wrist,6,2.986234,9.577786,0.507759
Wrist,7,3.063528,9.645345,0.458248
Wrist,8,2.95835,9.756847,0.500592
Wrist,9,2.893531,10.133831,0.591755
Wrist,10,2.850358,10.664019,0.618844
Wrist,11,2.782557,10.848464,0.669053
Wrist,12,2.914328,11.022034,0.71255
Wrist,13,2.905674,11.020782,0.703382
Wrist,14,2.810271,10.648773,0.555123
Wrist,15,2.702087,10.221754,0.367559
Wrist,16,2.573185,9.803127,0.175186
Wrist,17,2.424011,9.538558,0.000155
Wrist,18,2.230136,9.450868,-0.152916
Wrist,19,2.268764,9.499405,-0.200766
Wrist,20,2.281424,9.701856,-0.196583
Wrist,21,2.348641,10.445196,-0.008834
Wrist,22,2.461241,11.344152,0.146017
Wrist,23,2.717461,12.28075,0.491021
Wrist,24,2.82037,12.776308,0.773025
Wrist,25,2.770111,12.413147,0.783027
Wrist,26,2.498811,11.746955,0.723035
Wrist,27,2.235124,11.093248,0.631816
Wrist,28,1.937867,10.936915,0.600894
Wrist,29,1.606698,10.868397,0.588343
Wrist,30,1.512158,11.347938,0.561994
Wrist,31,1.684048,11.89923,0.619989
Wrist,32,1.773701,12.760651,0.758711
Wrist,33,1.941026,13.115382,0.859464
Wrist,34,2.149467,12.986084,0.807535
Wrist,35,2.167203,12.733933,0.860324
Wrist,36,2.002415,12.111777,0.898838
Wrist,37,1.81806,11.524766,0.915541
Wrist,38,1.610982,11.172702,1.073711
Wrist,39,1.502486,10.953367,1.204948
Wrist,40,1.297374,10.939065,1.342694
Wrist,41,0.991949,10.891362,1.431272
Wrist,42,0.868328,10.757483,1.376594
Wrist,43,0.890588,10.681729,1.28804
Wrist,44,0.840201,10.758261,1.211112
Wrist,45,0.844584,10.8279,1.149142
Wrist,46,0.765281,10.749125,1.003162
Wrist,47,0.745726,10.578092,0.898587
Wrist,48,0.704872,10.429334,0.809738
Wrist,49,0.600461,10.34062,0.782794
Wrist,50,0.512109,9.944541,0.673788
Wrist,51,0.503606,9.912195,0.622791
Wrist,52,0.476474,9.895072,0.603175
Wrist,53,0.319782,9.922559,0.698166
Wrist,54,0.267515,10.106921,0.696981
Wrist,55,0.239111,10.03681,0.683413
Wrist,56,0.272278,10.067948,0.592946
Wrist,57,0.223784,10.074963,0.589581
Wrist,58,0.267031,9.935508,0.545009
Wrist,59,0.404219,9.772287,0.47379
Wrist,60,0.547945,9.832051,0.424503
Wrist,61,0.674647,9.983672,0.406903
Wrist,62,0.811002,10.195713,0.433435
Wrist,63,0.946592,10.384042,0.452749
Wrist,64,1.080014,10.471347,0.465476
Wrist,65,1.319449,10.647393,0.494403
Wrist,66,1.54518,10.891189,0.554335
Wrist,67,1.80998,10.970182,0.554998
Wrist,68,2.015629,11.202814,0.575186
Wrist,69,2.256236,11.48537,0.587695
Wrist,70,2.486598,11.586009,0.672663
Wrist,71,2.762803,11.674049,0.69657
Wrist,72,2.944021,11.808098,0.833682
Wrist,73,3.188674,12.156716,1.073234
Wrist,74,3.265727,12.482303,1.28971
Wrist,75,3.178071,12.438072,1.512507
Wrist,76,3.125045,12.23171,1.526328
Wrist,77,3.109746,11.860117,1.690646
Wrist,78,3.059692,11.6631,1.821431
Wrist,79,3.054569,11.341302,1.837765
Wrist,80,3.037099,10.977452,1.823181
Wrist,81,3.062407,10.684304,1.731865
Wrist,82,3.181837,10.509275,1.682818
